"ticker_code","sector_name","statement_date","stocks_amount","div_yield","assets","disponibility","current_assets","gross_debt","net_debt","liquid_equity","net_revenue","ebit","liquid_profit","price_date","price_value"
AERI3,Bens Industriais,2022-03-31,766213000,0.70,3105680000,739162000,1977010000,1470600000,731435000,2347160000,995260000,164765000,47395000,2022-06-22,2.85
DOTZ3,Bens Industriais,2022-03-31,132068000,0.00,365773000,254839000,298857000,38168000,-216671000,131808000,-96659000,-25028000,-76875000,2022-06-22,3.41
ARML3,Bens Industriais,2022-03-31,345760000,0.00,3207590000,1352980000,1642070000,1829790000,476807000,533415000,1135230000,173157000,78364000,2022-06-22,11.89
MLAS3,Bens Industriais,2022-03-31,820539000,2.70,6342140000,739777000,5312440000,746428000,6650940,4419620000,4179710000,204356000,752124000,2022-06-22,4.56
CBAV3,Bens Industriais,2022-03-31,595833000,0.00,11896400000,1584820000,4327280000,2771190000,1186370000,8922020000,5159510000,1334420000,1299660000,2022-06-22,10.34
TTEN3,Bens Industriais,2022-03-31,496218000,0.00,5016520000,1310650000,3833600000,1282920000,-27725100,5843280000,2303450000,320455000,436049000,2022-06-22,8.35
NINJ3,Bens Industriais,2022-03-31,50224600,0.00,305806000,290161000,298362000,0,-290161000,62943000,285275000,-57207000,-39143000,2022-06-22,2.85
VITT3,Bens Industriais,2022-03-31,143049000,2.40,879448000,14875000,616626000,256697000,241822000,815833000,495549000,154916000,110786000,2022-06-22,9.83
KRSA3,Bens Industriais,2022-03-31,771395000,0.00,4336730000,210857000,1010680000,1965780000,1754930000,1524020000,1252900000,179327000,-62205000,2022-06-22,2.85
CXSE3,Bens Industriais,2022-03-31,3000000000,7.70,11233000000,971093000,1498770000,0,-971093000,0,11120100000,-78119000,2021530000,2022-06-22,7.11
GGPS3,Bens Industriais,2022-03-31,669709000,1.70,6758870000,1589600000,3588380000,1962350000,372750000,7203930000,2284100000,614013000,416672000,2022-06-22,11.19
MATD3,Bens Industriais,2022-03-31,382330000,1.20,4485930000,858797000,1423760000,1189130000,330338000,0,1657630000,0,0,2022-06-22,7.96
ALLD3,Bens Industriais,2022-03-31,93220600,11.80,3966340000,110570000,2768930000,400251000,289681000,5979150000,1533190000,271448000,264346000,2022-06-22,10.9
BLAU3,Bens Industriais,2022-03-31,179394000,2.40,2297180000,819309000,1640750000,329876000,-489433000,1353620000,1663300000,448876000,300518000,2022-06-22,24.62
